Año,Estado,Subíndice,Valor
2001,Aguascalientes,Derecho,70.88506171
2001,Baja California,Derecho,45.83908212
2001,Baja California Sur,Derecho,62.3737225
2001,Campeche,Derecho,74.83076285
2001,Coahuila,Derecho,72.66175203
2001,Colima,Derecho,72.5050671
2001,Chiapas,Derecho,54.93215673
2001,Chihuahua,Derecho,56.64996259
2001,Ciudad de México,Derecho,36.89673886
2001,Durango,Derecho,55.13816785
2001,Guanajuato,Derecho,74.25590766
2001,Guerrero,Derecho,17.19791054
2001,Hidalgo,Derecho,74.09833454
2001,Jalisco,Derecho,58.78824333
2001,México,Derecho,33.9490477
2001,Michoacán,Derecho,51.18444733
2001,Morelos,Derecho,43.73028166
2001,Nayarit,Derecho,61.39893953
2001,Nuevo León,Derecho,61.55248112
2001,Oaxaca,Derecho,53.32923293
2001,Puebla,Derecho,63.40788252
2001,Querétaro,Derecho,81.40081301
2001,Quintana Roo,Derecho,42.8232579
2001,San Luis Potosí,Derecho,62.06856268
2001,Sinaloa,Derecho,45.93673584
2001,Sonora,Derecho,73.14730589
2001,Tabasco,Derecho,66.29547506
2001,Tamaulipas,Derecho,71.5041915
2001,Tlaxcala,Derecho,61.20715175
2001,Veracruz,Derecho,73.86474835
2001,Yucatán,Derecho,86.83762118
2001,Zacatecas,Derecho,67.01372629
2001,Aguascalientes,Medio ambiente,52.38956062
2001,Baja California,Medio ambiente,48.9167494
2001,Baja California Sur,Medio ambiente,48.42291888
2001,Campeche,Medio ambiente,31.99563907
2001,Coahuila,Medio ambiente,33.66075372
2001,Colima,Medio ambiente,36.49313762
2001,Chiapas,Medio ambiente,33.39286115
2001,Chihuahua,Medio ambiente,43.88468985
2001,Ciudad de México,Medio ambiente,74.37334576
2001,Durango,Medio ambiente,46.69724094
2001,Guanajuato,Medio ambiente,23.394985
2001,Guerrero,Medio ambiente,39.91581379
2001,Hidalgo,Medio ambiente,29.25019111
2001,Jalisco,Medio ambiente,38.60780123
2001,México,Medio ambiente,40.34791621
2001,Michoacán,Medio ambiente,28.90385095
2001,Morelos,Medio ambiente,41.44792742
2001,Nayarit,Medio ambiente,47.89587785
2001,Nuevo León,Medio ambiente,58.12173879
2001,Oaxaca,Medio ambiente,35.05878331
2001,Puebla,Medio ambiente,33.35076105
2001,Querétaro,Medio ambiente,30.80638517
2001,Quintana Roo,Medio ambiente,40.99382313
2001,San Luis Potosí,Medio ambiente,30.88084103
2001,Sinaloa,Medio ambiente,41.53920942
2001,Sonora,Medio ambiente,42.13585425
2001,Tabasco,Medio ambiente,33.60513592
2001,Tamaulipas,Medio ambiente,38.09055723
2001,Tlaxcala,Medio ambiente,36.87972993
2001,Veracruz,Medio ambiente,27.09983718
2001,Yucatán,Medio ambiente,19.93579908
2001,Zacatecas,Medio ambiente,15.67336492
2001,Aguascalientes,Sociedad,60.61020286
2001,Baja California,Sociedad,50.6078848
2001,Baja California Sur,Sociedad,65.97238474
2001,Campeche,Sociedad,47.94123014
2001,Coahuila,Sociedad,56.23940351
2001,Colima,Sociedad,56.56266588
2001,Chiapas,Sociedad,29.69072484
2001,Chihuahua,Sociedad,43.49748694
2001,Ciudad de México,Sociedad,71.69248771
2001,Durango,Sociedad,56.32632028
2001,Guanajuato,Sociedad,36.20256456
2001,Guerrero,Sociedad,35.2644391
2001,Hidalgo,Sociedad,45.53918925
2001,Jalisco,Sociedad,41.62589734
2001,México,Sociedad,50.06654536
2001,Michoacán,Sociedad,32.92452586
2001,Morelos,Sociedad,50.47382629
2001,Nayarit,Sociedad,54.36947898
2001,Nuevo León,Sociedad,51.21192614
2001,Oaxaca,Sociedad,25.876939
2001,Puebla,Sociedad,36.71110234
2001,Querétaro,Sociedad,50.59774033
2001,Quintana Roo,Sociedad,54.85168032
2001,San Luis Potosí,Sociedad,42.76467182
2001,Sinaloa,Sociedad,56.95117115
2001,Sonora,Sociedad,53.44949162
2001,Tabasco,Sociedad,41.50930157
2001,Tamaulipas,Sociedad,54.94217289
2001,Tlaxcala,Sociedad,43.92119151
